"Path","Name","Extension","SizeKB","Width","Height"
"C:\Users\colle\saffron-restaurant\img\dish\CHICKEN BIRYANI.jpg","CHICKEN BIRYANI.jpg","JPG","90.03","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\nan-bread.jpg","nan-bread.jpg","JPG","88.58","800","800"
"C:\Users\colle\saffron-restaurant\img\slider\slide7.jpg","slide7.jpg","JPG","88.18","1000","1500"
"C:\Users\colle\saffron-restaurant\img\slider\slide4.jpg","slide4.jpg","JPG","85.74","1920","568"
"C:\Users\colle\saffron-restaurant\css\color\img\recipe-of-the-day-banner.jpg","recipe-of-the-day-banner.jpg","JPG","85.49","510","539"
"C:\Users\colle\saffron-restaurant\img\halal.png","halal.png","PNG","84.23","360","360"
"C:\Users\colle\saffron-restaurant\img\dish\PANNER BIRYANI.jpg","PANNER BIRYANI.jpg","JPG","83.85","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\bhel2-bowl.jpg","bhel2-bowl.jpg","JPG","83.23","1200","900"
"C:\Users\colle\saffron-restaurant\img\dish\vegbiryani.jpg","vegbiryani.jpg","JPG","83.22","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\tikka-masal-bowl.jpg","tikka-masal-bowl.jpg","JPG","83.21","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\rice-kheer.jpg","rice-kheer.jpg","JPG","82.66","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\malai-curry.jpg","malai-curry.jpg","JPG","82.65","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\blog\2.jpg","2.jpg","JPG","82.35","803","417"
"C:\Users\colle\saffron-restaurant\img\dish\reshmi.jpg","reshmi.jpg","JPG","81.54","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\bhel-puri-re.jpg","bhel-puri-re.jpg","JPG","80.86","600","600"
"C:\Users\colle\saffron-restaurant\css\color\img\blog\3.jpg","3.jpg","JPG","80.15","803","417"
"C:\Users\colle\saffron-restaurant\css\color\img\about1-banner1.jpg","about1-banner1.jpg","JPG","80.03","571","530"
"C:\Users\colle\saffron-restaurant\img\dish\TANDOORI CHIKEN.jpg","TANDOORI CHIKEN.jpg","JPG","79.06","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\chanarice-bkp.jpeg","chanarice-bkp.jpeg","JPEG","78.66","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\lambton-bkp.jpg","lambton-bkp.jpg","JPG","77.79","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\gougra-bir-new.jpg","gougra-bir-new.jpg","JPG","76.48","720","720"
"C:\Users\colle\saffron-restaurant\img\client\cl1.webp","cl1.webp","WEBP","75.66",,
"C:\Users\colle\saffron-restaurant\img\dish\toor-dal-tadka.jpg","toor-dal-tadka.jpg","JPG","75.65","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\reservation2-back.png","reservation2-back.png","PNG","75.49","556","613"
"C:\Users\colle\saffron-restaurant\img\dish\CHIKEN-SAMOSA.jpg","CHIKEN-SAMOSA.jpg","JPG","74.32","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\about1-banner2.jpg","about1-banner2.jpg","JPG","73.72","571","530"
"C:\Users\colle\saffron-restaurant\img\dish\daal-bowl.jpg","daal-bowl.jpg","JPG","72.33","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\samosa.jpg","samosa.jpg","JPG","71.72","1200","1201"
"C:\Users\colle\saffron-restaurant\pani_Puri.jpg","pani_Puri.jpg","JPG","69.57","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\paanipuri_bkp.jpg","paanipuri_bkp.jpg","JPG","69.57","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\bhel-bowl.jpg","bhel-bowl.jpg","JPG","69.25","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\gougra-bir.jpg","gougra-bir.jpg","JPG","69.21","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\lamb-Boti-Kabab.jpg","lamb-Boti-Kabab.jpg","JPG","68.65","650","918"
"C:\Users\colle\saffron-restaurant\img\dish\Smoke-chicken.jpg","Smoke-chicken.jpg","JPG","67.82","751","655"
"C:\Users\colle\saffron-restaurant\img\dish\egg-biryaani.jpg","egg-biryaani.jpg","JPG","64.84","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\blog\1.jpg","1.jpg","JPG","64.06","803","417"
"C:\Users\colle\saffron-restaurant\img\dish\TANDOORI-CHIKEN.jpg","TANDOORI-CHIKEN.jpg","JPG","63.81","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\paneer-tikka.jpg","paneer-tikka.jpg","JPG","60.39","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\ras-malai.jpg","ras-malai.jpg","JPG","55.98","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\about2-back.jpg","about2-back.jpg","JPG","54.77","1920","597"
"C:\Users\colle\saffron-restaurant\img\dish\client-back.jpg","client-back.jpg","JPG","54.63","1917","678"
"C:\Users\colle\saffron-restaurant\img\client\client-back.jpg","client-back.jpg","JPG","54.63","1917","678"
"C:\Users\colle\saffron-restaurant\img\dish\CHICKEN-BIRYANI.jpg","CHICKEN-BIRYANI.jpg","JPG","54.61","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\bhel-puri.jpg","bhel-puri.jpg","JPG","54.22","600","600"
"C:\Users\colle\saffron-restaurant\css\color\img\food-menu-back.png","food-menu-back.png","PNG","53.02","722","643"
"C:\Users\colle\saffron-restaurant\img\dish\mango-lassi.jpg","mango-lassi.jpg","JPG","52.71","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\PANNER-BIRYANI.jpg","PANNER-BIRYANI.jpg","JPG","50.47","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\kingfisher-l.jpg","kingfisher-l.jpg","JPG","50.3","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\CHIKEN-TIKKAM.jpg","CHIKEN-TIKKAM.jpg","JPG","49.92","512","512"
"C:\Users\colle\saffron-restaurant\img\slider\slide3.jpg","slide3.jpg","JPG","49.5","550","309"
"C:\Users\colle\saffron-restaurant\css\color\img\recipe-box2-3.jpg","recipe-box2-3.jpg","JPG","48.09","377","251"
"C:\Users\colle\saffron-restaurant\css\font\Flaticon.svg","Flaticon.svg","SVG","47.15",,
"C:\Users\colle\saffron-restaurant\img\dish\TANDOORI-CHIKEN-bkp.jpg","TANDOORI-CHIKEN-bkp.jpg","JPG","46.82","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\VEG-BIRYANI.jpg","VEG-BIRYANI.jpg","JPG","46.42","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-reshmi.jpg","chicken-reshmi.jpg","JPG","45.92","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\coco-tom-soup.jpg","coco-tom-soup.jpg","JPG","45.89","800","800"
"C:\Users\colle\saffron-restaurant\img\client\client1.jpg","client1.jpg","JPG","44.3","739","645"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-malai-tikka-510x539.jpg","chicken-malai-tikka-510x539.jpg","JPG","44.15","510","539"
"C:\Users\colle\saffron-restaurant\img\dish\sambar-soup.jpg","sambar-soup.jpg","JPG","43.42","800","800"
"C:\Users\colle\saffron-restaurant\img\soft-chicken-kabab.jpg","soft-chicken-kabab.jpg","JPG","42.46","510","539"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-tikka-510x539.jpg","chicken-tikka-510x539.jpg","JPG","41.58","510","539"
"C:\Users\colle\saffron-restaurant\img\dish\samosa-n.jpg","samosa-n.jpg","JPG","41.34","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-manchow.jpg","chicken-manchow.jpg","JPG","40.6","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\veg-keema-bir.jpg","veg-keema-bir.jpg","JPG","40.13","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\veg-manchow.jpg","veg-manchow.jpg","JPG","38.39","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\37.jpg","37.jpg","JPG","37.87","272","342"
"C:\Users\colle\saffron-restaurant\css\color\img\chef\single-chef.jpg","single-chef.jpg","JPG","37.6","500","635"
"C:\Users\colle\saffron-restaurant\img\dish\LENTIL YELLOW.jpg","LENTIL YELLOW.jpg","JPG","37.22","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\about1-bottom-back.png","about1-bottom-back.png","PNG","37.01","1472","82"
"C:\Users\colle\saffron-restaurant\img\slider\slide3-1.jpg","slide3-1.jpg","JPG","37","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide3-3.jpg","slide3-3.jpg","JPG","37","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide3-2.jpg","slide3-2.jpg","JPG","37","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide1-1.jpg","slide1-1.jpg","JPG","37","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide1-2.jpg","slide1-2.jpg","JPG","37","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide1-3.jpg","slide1-3.jpg","JPG","37","1920","999"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-wings-510x539.jpg","chicken-wings-510x539.jpg","JPG","36.52","510","539"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\38.jpg","38.jpg","JPG","36.45","272","342"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\35.jpg","35.jpg","JPG","36.31","272","342"
"C:\Users\colle\saffron-restaurant\img\dish\CHIKEN TIKKAM.jpg","CHIKEN TIKKAM.jpg","JPG","36.21","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\Tandoori-mix-grill-800x800.jpg","Tandoori-mix-grill-800x800.jpg","JPG","36.13","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\recipe-box2-2.jpg","recipe-box2-2.jpg","JPG","34.95","377","251"
"C:\Users\colle\saffron-restaurant\img\slider\slide2-1.jpg","slide2-1.jpg","JPG","34.87","1920","880"
"C:\Users\colle\saffron-restaurant\img\slider\slide2-3.jpg","slide2-3.jpg","JPG","34.87","1920","880"
"C:\Users\colle\saffron-restaurant\img\slider\slide2-2.jpg","slide2-2.jpg","JPG","34.87","1920","880"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\menu5-back1.jpg","menu5-back1.jpg","JPG","34.82","570","164"
"C:\Users\colle\saffron-restaurant\img\dish\CHIKEN -SAMOSA.jpg","CHIKEN -SAMOSA.jpg","JPG","34.46","800","800"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-kofta-makhni.jpg","chicken-kofta-makhni.jpg","JPG","34.32","510","539"
"C:\Users\colle\saffron-restaurant\img\dish\VEG-SAMOSA.jpg","VEG-SAMOSA.jpg","JPG","34.21","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\39.jpg","39.jpg","JPG","33.65","272","342"
"C:\Users\colle\saffron-restaurant\img\dish\samosa-n-1.jpg","samosa-n-1.jpg","JPG","33.13","805","765"
"C:\Users\colle\saffron-restaurant\img\slider\slide2.jpg","slide2.jpg","JPG","32.3","550","367"
"C:\Users\colle\saffron-restaurant\img\award1-back.jpg","award1-back.jpg","JPG","32.07","1920","804"
"C:\Users\colle\saffron-restaurant\css\color\img\table-reservation2.jpg","table-reservation2.jpg","JPG","31.76","1920","621"
"C:\Users\colle\saffron-restaurant\css\color\img\dish\40.jpg","40.jpg","JPG","31.35","272","342"
